A_Index;AnzahlZimmer;Ausbaustufe;Baeder;BaederUG;Baujahr;Bebauungsdichte;Besonderheiten;Dachtyp;EG_qm;Fassadenqual;Fassadenzustand;Garagen;Gesamteindruck;Grundstueck_qm;Kamine;KellerQual;Keller_qm;Kellerhoehe;Lage;ToilettenEG;ToilettenUG;Typ;Umgebaut;Verkaufsjahr;Verkaufsmonat;Wohnflaeche_qm;Z_Verkaufspreis
1714;2;1 Ebene;1;1.0;2012;Seelage;;Satteldach;131.0;Gut;Durchschnitt;2.0;3.0;444.0;1;1;131.0;Sehr gut;Wangen;1;0.0;Reihenhaus;2012;2018.0;9;131.0;317546.0
902;3;Sonstige;1;0.0;1989;Niedrig;;Satteldach;96.0;Durchschnitt;Durchschnitt;2.0;2.0;809.0;1;2;42.0;Gut;Sillenbuch;0;1.0;Freistehend;1989;2019.0;6;96.0;170704.0
1329;2;1 Ebene;2;0.0;1990;Niedrig;;Satteldach;85.0;Durchschnitt;Durchschnitt;1.0;3.0;806.0;1;1;85.0;Gut;Plieningen;0;0.0;Reihenhaus;1990;2021.0;4;85.0;122555.0
1858;3;1 Ebene;1;1.0;1974;Niedrig;;Satteldach;89.0;Durchschnitt;Gut;1.0;3.0;937.0;0;2;89.0;Durchschnitt;Sillenbuch;0;0.0;Freistehend;2014;2017.0;5;89.0;152561.0
720;4;1 Ebene;3;0.0;1965;Niedrig;;Flachdach;225.0;Durchschnitt;Gut;2.0;3.0;1272.0;2;4;119.0;Gut;Degerloch;0;0.0;Freistehend;2005;2015.0;7;225.0;248227.0
1351;3;2 Ebenen;2;1.0;2016;Niedrig;;Satteldach;68.0;Gut;Durchschnitt;2.0;3.0;874.0;0;5;68.0;Gut;Bad Cannstatt;1;0.0;Freistehend;2016;2020.0;2;137.0;205482.0
630;3;1 Ebene;2;0.0;2017;Niedrig;Neuverkauf;Flachdach;155.0;Gut;Durchschnitt;3.0;3.0;1487.0;1;5;155.0;Gut;NeuStuttgart_Mitte;0;0.0;Freistehend;2017;2014.0;8;155.0;224640.0
2448;2;Sonstige;1;0.0;2004;Niedrig;;Satteldach;101.0;Durchschnitt;Gut;1.0;2.0;773.0;0;5;35.0;Gut;NeuStuttgart_Ost;0;1.0;Freistehend;2007;2019.0;8;101.0;149465.0
2532;3;2 Ebenen;1;0.0;1981;Mittel;;Satteldach;50.0;Durchschnitt;Durchschnitt;0.0;2.0;162.0;0;2;50.0;Durchschnitt;Untertuerkheim;1;0.0;Reihenhaus;1981;2015.0;5;101.0;91406.0
1213;1;Sonstige;1;1.0;1981;Mittel;;Satteldach;58.0;Durchschnitt;Gut;1.0;3.0;163.0;0;1;58.0;Gut;Untertuerkheim;0;0.0;;2013;2019.0;5;58.0;97935.0
98;3;1 Ebene;1;1.0;1972;Niedrig;;Satteldach;150.0;Durchschnitt;Gut;4.0;2.0;3257.0;1;5;116.0;Durchschnitt;NeuStuttgart_Ost;0;0.0;Doppelhaus;1986;2015.0;3;150.0;163537.0
1973;2;1 Ebene;2;0.0;1986;Niedrig;;Satteldach;99.0;Durchschnitt;Durchschnitt;2.0;3.0;418.0;1;5;99.0;Gut;Weilimdorf;0;1.0;Reihenhaus;1986;2013.0;7;99.0;131670.0
1369;4;2 Ebenen;2;0.0;1980;Niedrig;;Satteldach;108.0;Durchschnitt;Durchschnitt;2.0;2.0;1108.0;1;5;72.0;Durchschnitt;NeuStuttgart_Ost;1;1.0;Freistehend;1980;2018.0;9;183.0;188337.0
2411;3;1 Ebene;1;1.0;1978;Niedrig;;Flachdach;128.0;Durchschnitt;Durchschnitt;1.0;2.0;753.0;1;3;87.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1986;2014.0;9;128.0;135720.0
255;2;1 Ebene;2;0.0;2016;Niedrig;;Satteldach;140.0;Gut;Durchschnitt;2.0;3.0;305.0;1;1;126.0;Gut;Muenster;0;0.0;Reihenhaus;2016;2013.0;4;140.0;192141.0
2055;4;2 Ebenen;2;1.0;2007;Niedrig;;Satteldach;98.0;Gut;Durchschnitt;2.0;3.0;1114.0;2;2;98.0;Sehr gut;NeuStuttgart_Sued;1;0.0;Freistehend;2008;2018.0;6;197.0;306049.0
2479;2;1 Ebene;2;1.0;2009;Niedrig;;Satteldach;137.0;Durchschnitt;Durchschnitt;2.0;3.0;743.0;0;4;131.0;Gut;NeuStuttgart_West;0;0.0;Freistehend;2009;2019.0;7;137.0;273308.0
273;4;2 Ebenen;2;1.0;1981;Niedrig;;Satteldach;130.0;Durchschnitt;Durchschnitt;2.0;3.0;814.0;1;5;93.0;Durchschnitt;Wangen;1;0.0;Freistehend;1981;2016.0;6;224.0;243021.0
531;3;Sonstige;2;0.0;2015;Niedrig;;Satteldach;69.0;Gut;Durchschnitt;2.0;3.0;985.0;0;5;35.0;Gut;NeuStuttgart_Mitte;1;0.0;Freistehend;2015;2020.0;5;127.0;197784.0
2344;3;1 Ebene;1;0.0;1983;Niedrig;;Flachdach;80.0;Durchschnitt;Durchschnitt;2.0;2.0;1286.0;0;3;80.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1983;2017.0;4;80.0;117132.0
1249;3;1 Ebene;1;0.0;1964;Niedrig;;Flachdach;96.0;Durchschnitt;Durchschnitt;1.0;2.0;766.0;0;5;96.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1964;2018.0;6;96.0;123624.0
2632;2;1 Ebene;2;1.0;1965;Niedrig;;Flachdach;120.0;Durchschnitt;Durchschnitt;2.0;3.0;1106.0;0;1;109.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1965;2013.0;5;120.0;134910.0
1839;3;1 Ebene;1;1.0;1977;Niedrig;;Flachdach;112.0;Durchschnitt;Durchschnitt;2.0;2.0;1005.0;0;1;112.0;Gut;Vaihingen;0;0.0;Freistehend;1977;2021.0;4;112.0;195842.0
2434;3;1,5 Ebenen;1;1.0;1962;Niedrig;;Satteldach;100.0;Durchschnitt;Schlecht;1.0;2.0;1246.0;1;5;74.0;Durchschnitt;Sillenbuch;0;0.0;Freistehend;1962;2013.0;6;132.0;123750.0
1821;1;1 Ebene;1;0.0;1959;Niedrig;;Satteldach;80.0;Durchschnitt;Durchschnitt;1.0;3.0;1023.0;0;4;0.0;;Birkach;0;0.0;Freistehend;1961;2017.0;8;80.0;94653.0
237;3;2 Ebenen;1;0.0;1989;Niedrig;;Flachdach;62.0;Durchschnitt;Durchschnitt;2.0;3.0;799.0;1;4;62.0;Durchschnitt;Sillenbuch;1;0.0;Freistehend;1989;2014.0;3;130.0;139932.0
2025;2;1,5 Ebenen;1;1.0;1953;Niedrig;;Satteldach;72.0;Durchschnitt;Durchschnitt;1.0;2.0;449.0;0;4;62.0;Durchschnitt;Zuffenhausen;0;0.0;Doppelhaus;1990;2015.0;7;119.0;105618.0
1038;2;1 Ebene;1;0.0;1972;Niedrig;;Satteldach;85.0;Durchschnitt;Gut;1.0;3.0;1737.0;0;2;85.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1972;2015.0;7;85.0;124600.0
1931;4;2 Ebenen;1;0.0;1982;Niedrig;;Satteldach;78.0;Durchschnitt;Durchschnitt;2.0;2.0;1337.0;0;4;76.0;Gut;Wangen;1;0.0;Freistehend;1982;2017.0;5;155.0;178988.0
43;2;1,5 Ebenen;2;0.0;1950;Mittel;;Satteldach;81.0;Durchschnitt;Durchschnitt;1.0;2.0;617.0;1;4;68.0;Durchschnitt;Botnang;0;0.0;Freistehend;1961;2017.0;4;124.0;110551.0
2494;3;2 Ebenen;2;0.0;2003;Niedrig;;Satteldach;78.0;Gut;Durchschnitt;2.0;3.0;836.0;0;5;77.0;Gut;Plieningen;1;1.0;Freistehend;2003;2018.0;5;161.0;191622.0
2277;3;1 Ebene;2;0.0;2020;Niedrig;;Satteldach;112.0;Durchschnitt;Durchschnitt;2.0;2.0;1052.0;0;5;112.0;Gut;NeuStuttgart_Nord;0;0.0;Freistehend;2020;2021.0;3;112.0;229098.0
2256;4;2 Ebenen;2;0.0;1946;Niedrig;;Flachdach;114.0;Durchschnitt;Durchschnitt;2.0;3.0;1379.0;2;5;104.0;Durchschnitt;NeuStuttgart_Nord;0;0.0;Freistehend;1997;2017.0;7;196.0;247425.0
2410;4;2 Ebenen;2;0.0;2009;Niedrig;;Flachdach;108.0;Gut;Durchschnitt;2.0;3.0;1210.0;1;2;106.0;Gut;NeuStuttgart_Sued;1;0.0;Freistehend;2009;2014.0;7;210.0;241488.0
581;3;2 Ebenen;2;0.0;2015;Niedrig;;Satteldach;79.0;Gut;Durchschnitt;2.0;3.0;1170.0;0;1;79.0;Gut;Bad Cannstatt;1;0.0;Freistehend;2015;2013.0;8;159.0;176850.0
2357;4;2 Ebenen;2;0.0;2014;Niedrig;;Satteldach;93.0;Gut;Durchschnitt;3.0;3.0;1198.0;1;3;93.0;Gut;NeuStuttgart_Mitte;1;0.0;Freistehend;2014;2020.0;8;212.0;319771.0
270;2;1 Ebene;2;0.0;2017;Seelage;Neuverkauf;Satteldach;125.0;Gut;Durchschnitt;2.0;2.0;425.0;1;3;125.0;Sehr gut;Wangen;0;0.0;Reihenhaus;2018;2015.0;4;125.0;203351.0
2781;3;2 Ebenen;1;0.0;1931;Niedrig;;Satteldach;87.0;Durchschnitt;Durchschnitt;1.0;2.0;2181.0;1;5;75.0;Durchschnitt;Moehringen;1;0.0;Freistehend;1961;2013.0;9;144.0;175500.0
2702;2;1 Ebene;2;0.0;2017;Seelage;Neuverkauf;Satteldach;117.0;Gut;Durchschnitt;2.0;2.0;729.0;0;2;117.0;Gut;Wangen;0;0.0;Freistehend;2017;2013.0;5;117.0;166500.0
751;3;2 Ebenen;1;0.0;1987;Mittel;;Satteldach;57.0;Durchschnitt;Durchschnitt;1.0;3.0;280.0;1;1;24.0;Gut;Untertuerkheim;1;0.0;Reihenhaus;1987;2017.0;6;121.0;121080.0
1765;3;1 Ebene;1;1.0;1975;Niedrig;;Flachdach;116.0;Durchschnitt;Durchschnitt;1.0;3.0;892.0;2;2;116.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1975;2013.0;3;116.0;144000.0
2190;3;2 Ebenen;2;0.0;2009;Niedrig;;Satteldach;74.0;Durchschnitt;Durchschnitt;2.0;3.0;882.0;0;5;74.0;Gut;Bad Cannstatt;1;0.0;Freistehend;2009;2021.0;6;156.0;246958.0
1368;2;1 Ebene;2;0.0;2017;Seelage;;Satteldach;156.0;Gut;Durchschnitt;3.0;3.0;1201.0;1;5;156.0;Gut;Wangen;0;0.0;Freistehend;2017;2016.0;4;156.0;256131.0
762;3;Sonstige;1;0.0;1973;Niedrig;;Satteldach;133.0;Durchschnitt;Durchschnitt;1.0;2.0;929.0;1;1;102.0;Gut;Vaihingen;0;1.0;Freistehend;1973;2017.0;12;133.0;173723.0
1824;3;Sonstige;2;2.0;1998;Niedrig;;Flachdach;137.0;Durchschnitt;Durchschnitt;2.0;3.0;1445.0;1;3;152.0;Gut;NeuStuttgart_West;1;0.0;Freistehend;2000;2020.0;7;137.0;252856.0
2607;4;2 Ebenen;2;0.0;1987;Niedrig;;Satteldach;103.0;Durchschnitt;Durchschnitt;2.0;2.0;1212.0;1;5;78.0;Durchschnitt;Wangen;1;0.0;Freistehend;1987;2015.0;6;188.0;189820.0
2588;3;1 Ebene;1;1.0;1980;Niedrig;;Satteldach;126.0;Durchschnitt;Durchschnitt;1.0;3.0;1357.0;1;4;102.0;Durchschnitt;NeuStuttgart_Ost;0;0.0;Freistehend;1990;2013.0;5;126.0;126000.0
513;3;2 Ebenen;2;0.0;2014;Niedrig;;Satteldach;70.0;Gut;Durchschnitt;2.0;3.0;696.0;1;3;69.0;Gut;NeuStuttgart_Nord;1;0.0;Freistehend;2015;2017.0;7;154.0;174145.0
80;3;Sonstige;1;1.0;1978;Niedrig;;Satteldach;160.0;Durchschnitt;Durchschnitt;2.0;2.0;1797.0;1;4;156.0;Gut;Wangen;1;0.0;Freistehend;1987;2020.0;6;160.0;234380.0
1742;2;1 Ebene;2;1.0;2017;Seelage;Neuverkauf;Satteldach;120.0;Gut;Durchschnitt;2.0;2.0;721.0;1;5;120.0;Gut;Wangen;0;0.0;Freistehend;2017;2013.0;8;120.0;168975.0
755;3;1,5 Ebenen;1;0.0;1961;Niedrig;;Satteldach;103.0;Durchschnitt;Gut;1.0;3.0;979.0;0;5;79.0;Durchschnitt;Vaihingen;1;0.0;Freistehend;2016;2019.0;9;155.0;159430.0
127;2;2 Ebenen;1;0.0;1941;Mittel;;Satteldach;46.0;Durchschnitt;Durchschnitt;1.0;4.0;415.0;1;3;46.0;Durchschnitt;Birkach;0;0.0;Freistehend;1961;2014.0;7;93.0;98280.0
2126;3;1 Ebene;1;1.0;1951;Niedrig;;Satteldach;92.0;Durchschnitt;Durchschnitt;0.0;3.0;1404.0;1;4;92.0;Durchschnitt;NeuStuttgart_Nord;0;0.0;Freistehend;1980;2017.0;7;92.0;113710.0
1199;2;Sonstige;1;1.0;1995;Niedrig;;Satteldach;104.0;Durchschnitt;Durchschnitt;2.0;2.0;759.0;0;4;98.0;Gut;Sillenbuch;0;0.0;Freistehend;1995;2018.0;3;104.0;166438.0
1965;3;2 Ebenen;1;1.0;1926;Mittel;;Satteldach;70.0;Durchschnitt;Gut;1.0;3.0;1037.0;0;4;64.0;Durchschnitt;Stammheim;1;0.0;Doppelhaus;1976;2019.0;2;130.0;132099.0
434;3;2 Ebenen;2;0.0;1921;Mittel;;Flachdach;84.0;Gut;Gut;2.0;4.0;1046.0;0;1;67.0;Durchschnitt;Birkach;1;0.0;Freistehend;2010;2016.0;5;164.0;187188.0
578;1;1 Ebene;1;1.0;2014;Mittel;;Satteldach;78.0;Gut;Durchschnitt;2.0;2.0;452.0;0;5;78.0;Gut;Bad Cannstatt;0;0.0;Reihenhaus;2014;2018.0;3;78.0;149465.0
946;3;Sonstige;1;0.0;1982;Niedrig;;Mansarddach;53.0;Durchschnitt;Durchschnitt;1.0;3.0;1063.0;0;4;34.0;Durchschnitt;Vaihingen;0;1.0;Freistehend;2016;2015.0;12;103.0;135308.0
1773;2;1 Ebene;2;1.0;1998;Niedrig;;Satteldach;105.0;Durchschnitt;Durchschnitt;2.0;2.0;1385.0;1;4;103.0;Gut;NeuStuttgart_West;0;0.0;Freistehend;1998;2014.0;7;105.0;164736.0
858;3;1 Ebene;1;0.0;1969;Niedrig;;Flachdach;124.0;Durchschnitt;Durchschnitt;2.0;3.0;964.0;1;5;104.0;Durchschnitt;Vaihingen;1;0.0;Freistehend;1969;2014.0;12;124.0;151632.0
669;3;1,5 Ebenen;1;0.0;1929;Niedrig;;Satteldach;63.0;Durchschnitt;Durchschnitt;1.0;3.0;842.0;0;3;63.0;Durchschnitt;NeuStuttgart_Nord;1;1.0;Freistehend;1961;2013.0;7;116.0;104400.0
495;2;1 Ebene;2;0.0;2016;Niedrig;;Satteldach;139.0;Gut;Durchschnitt;2.0;3.0;330.0;1;2;125.0;Gut;Muenster;0;0.0;Reihenhaus;2017;2017.0;5;139.0;201098.0
2172;3;1 Ebene;1;0.0;1983;Niedrig;;Satteldach;81.0;Durchschnitt;Gut;2.0;3.0;730.0;0;3;35.0;Durchschnitt;Bad Cannstatt;0;0.0;Freistehend;2017;2015.0;10;81.0;113892.0
1528;2;1 Ebene;1;1.0;1981;Niedrig;;Flachdach;118.0;Durchschnitt;Gut;2.0;3.0;1068.0;1;3;118.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1981;2016.0;4;118.0;169067.0
71;4;2 Ebenen;2;0.0;2013;Niedrig;;Satteldach;93.0;Gut;Durchschnitt;2.0;2.0;807.0;1;1;93.0;Gut;NeuStuttgart_Mitte;1;0.0;Freistehend;2013;2020.0;12;210.0;236867.0
1891;3;2 Ebenen;2;0.0;1926;Mittel;;Satteldach;118.0;Durchschnitt;Gut;1.0;3.0;999.0;0;5;62.0;Durchschnitt;Birkach;0;0.0;Freistehend;2005;2019.0;6;180.0;204867.0
89;2;1 Ebene;1;0.0;1965;Niedrig;;Satteldach;76.0;Durchschnitt;Durchschnitt;1.0;3.0;724.0;0;4;76.0;Durchschnitt;Vaihingen;0;1.0;Freistehend;1965;2018.0;7;76.0;119901.0
1011;2;1 Ebene;1;0.0;1982;Niedrig;;Satteldach;80.0;Durchschnitt;Durchschnitt;2.0;2.0;1064.0;0;3;80.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1982;2019.0;3;80.0;110462.0
154;3;1 Ebene;1;0.0;1971;Niedrig;;Flachdach;132.0;Durchschnitt;Durchschnitt;1.0;3.0;1235.0;1;3;90.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1989;2016.0;8;132.0;141631.0
1183;4;1 Ebene;2;0.0;1978;Niedrig;;Satteldach;147.0;Durchschnitt;Durchschnitt;3.0;3.0;897.0;0;4;147.0;Durchschnitt;Vaihingen;0;0.0;Doppelhaus;1978;2019.0;4;147.0;141209.0
1440;3;1 Ebene;2;0.0;2018;Niedrig;Neuverkauf;Satteldach;146.0;Gut;Durchschnitt;3.0;3.0;1212.0;0;5;146.0;Gut;Wangen;0;0.0;Freistehend;2019;2018.0;6;146.0;257462.0
540;3;2 Ebenen;2;1.0;2011;Niedrig;;Satteldach;89.0;Durchschnitt;Durchschnitt;2.0;2.0;1041.0;1;1;87.0;Gut;NeuStuttgart_Mitte;1;0.0;Freistehend;2011;2018.0;5;166.0;204215.0
258;3;2 Ebenen;1;1.0;1926;Niedrig;;Satteldach;89.0;Durchschnitt;Durchschnitt;3.0;2.0;956.0;1;3;70.0;Durchschnitt;Moehringen;0;0.0;Freistehend;1981;2013.0;2;159.0;126000.0
2593;2;1 Ebene;2;1.0;2014;Niedrig;;Satteldach;111.0;Gut;Durchschnitt;2.0;2.0;1014.0;0;5;109.0;Gut;Plieningen;0;0.0;Freistehend;2014;2019.0;8;111.0;210561.0
1293;3;2 Ebenen;2;0.0;2016;Niedrig;Neuverkauf;Satteldach;112.0;Gut;Durchschnitt;2.0;3.0;1292.0;1;3;112.0;Sehr gut;NeuStuttgart_Sued;1;0.0;Freistehend;2017;2014.0;7;209.0;322107.0
2226;2;1 Ebene;1;0.0;1973;Niedrig;;Flachdach;112.0;Durchschnitt;Durchschnitt;2.0;3.0;938.0;1;3;80.0;Durchschnitt;Sillenbuch;0;0.0;Freistehend;2013;2013.0;3;112.0;129600.0
887;2;1 Ebene;1;0.0;1975;Niedrig;;Satteldach;84.0;Durchschnitt;Durchschnitt;1.0;2.0;799.0;0;1;84.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1975;2013.0;11;84.0;103500.0
971;3;1,5 Ebenen;1;0.0;1951;Niedrig;;Satteldach;55.0;Durchschnitt;Durchschnitt;1.0;3.0;605.0;0;2;55.0;Schlecht;Zuffenhausen;0;0.0;Freistehend;1961;2021.0;3;85.0;117012.0
1933;3;2 Ebenen;1;0.0;1977;Niedrig;;Satteldach;61.0;Durchschnitt;Durchschnitt;2.0;3.0;762.0;1;3;61.0;Durchschnitt;Vaihingen;1;0.0;Freistehend;1977;2013.0;7;125.0;139500.0
2835;6;2 Ebenen;2;1.0;1923;Niedrig;;Satteldach;87.0;Durchschnitt;Schlecht;0.0;3.0;573.0;0;5;72.0;Durchschnitt;Zuffenhausen;0;0.0;Doppelhaus;2011;2018.0;3;159.0;148808.0
1239;3;1 Ebene;2;1.0;2011;Niedrig;;Satteldach;155.0;Gut;Durchschnitt;2.0;2.0;1151.0;1;2;155.0;Durchschnitt;Bad Cannstatt;0;0.0;Freistehend;2011;2015.0;1;155.0;262828.0
2334;3;1 Ebene;2;1.0;2014;Niedrig;;Satteldach;180.0;Gut;Durchschnitt;3.0;3.0;1246.0;3;1;176.0;Sehr gut;NeuStuttgart_Sued;0;0.0;Freistehend;2015;2014.0;11;180.0;336960.0
770;4;2 Ebenen;3;0.0;2014;Niedrig;;Satteldach;102.0;Gut;Durchschnitt;3.0;2.0;1336.0;1;4;100.0;Gut;NeuStuttgart_Sued;1;0.0;Freistehend;2015;2020.0;6;223.0;343458.0
2104;4;2 Ebenen;2;1.0;2015;Niedrig;;Satteldach;88.0;Gut;Durchschnitt;2.0;3.0;1016.0;0;2;88.0;Gut;Plieningen;1;0.0;Freistehend;2015;2021.0;1;193.0;286988.0
2567;3;1 Ebene;1;1.0;1968;Niedrig;;Satteldach;122.0;Durchschnitt;Gut;1.0;2.0;848.0;0;5;122.0;Durchschnitt;Vaihingen;0;0.0;Freistehend;1968;2021.0;6;122.0;178598.0
2688;2;1 Ebene;1;0.0;1941;Mittel;;Satteldach;72.0;Durchschnitt;Durchschnitt;1.0;2.0;917.0;0;5;69.0;Durchschnitt;Botnang;0;0.0;Freistehend;1971;2018.0;8;86.0;87051.0
1145;3;1 Ebene;2;0.0;2010;Seelage;;Satteldach;126.0;Gut;Durchschnitt;2.0;3.0;735.0;0;2;124.0;Gut;Wangen;0;0.0;Freistehend;2011;2016.0;12;126.0;206525.0
2556;2;1,5 Ebenen;1;1.0;1951;Niedrig;;Satteldach;90.0;Gut;Gut;1.0;3.0;975.0;2;2;67.0;Durchschnitt;Moehringen;1;0.0;Freistehend;1961;2019.0;6;121.0;182205.0
1837;3;2 Ebenen;2;1.0;2005;Niedrig;;Satteldach;95.0;Gut;Gut;2.0;2.0;950.0;1;2;72.0;Gut;Plieningen;1;0.0;Freistehend;2012;2016.0;7;182.0;222723.0
951;3;Sonstige;2;1.0;2006;Niedrig;;Satteldach;140.0;Gut;Durchschnitt;3.0;3.0;1149.0;1;2;130.0;Gut;Plieningen;0;0.0;Freistehend;2006;2017.0;2;140.0;236896.0
1620;3;2 Ebenen;2;0.0;2004;Niedrig;;Satteldach;82.0;Gut;Durchschnitt;2.0;3.0;861.0;0;4;82.0;Gut;Plieningen;1;1.0;Freistehend;2005;2018.0;10;156.0;178482.0
1560;2;1 Ebene;2;0.0;2018;Niedrig;Neuverkauf;Satteldach;115.0;Gut;Durchschnitt;2.0;3.0;378.0;1;4;106.0;Gut;Muenster;0;0.0;Freistehend;2019;2018.0;3;115.0;205514.0
1178;2;1 Ebene;1;0.0;1957;Niedrig;;Satteldach;61.0;Schlecht;Schlecht;0.0;2.0;514.0;0;3;61.0;Schlecht;Botnang;0;1.0;Freistehend;1961;2016.0;4;61.0;65298.0
656;2;1 Ebene;2;0.0;2020;Seelage;Neuverkauf;Flachdach;113.0;Gut;Durchschnitt;2.0;3.0;935.0;0;3;113.0;Gut;Wangen;0;0.0;Freistehend;2021;2021.0;4;113.0;251885.0
2146;3;2 Ebenen;2;0.0;1981;Mittel;;Satteldach;58.0;Durchschnitt;Durchschnitt;2.0;2.0;205.0;0;5;58.0;Durchschnitt;Hedelfingen;1;0.0;Reihenhaus;1981;2016.0;4;121.0;107312.0
